Position,Track Name,Artist,Region,lat,long
90,Despacito (Featuring Daddy Yankee),Luis Fonsi,ec,-1.3397668,-79.3666965
111,Shape of You,Ed Sheeran,fr,46.603354,1.8883335
86,Despacito (Featuring Daddy Yankee),Luis Fonsi,ar,-34.9964963,-64.9672817
68,Despacito - Remix,Luis Fonsi,fi,63.2467777,25.9209164
98,Despacito - Remix,Luis Fonsi,no,60.5000209,9.0999715
70,La musica non c'�,Coez,it,42.6384261,12.674297
98,Shape of You,Ed Sheeran,lt,55.3500003,23.7499997
88,Shape of You,Ed Sheeran,ph,12.44249325,122.1603952
107,Something Just Like This,The Chainsmokers,tw,23.9739374,120.9820179
91,Shape of You,Ed Sheeran,nz,-41.5000831,172.8344077
97,Shape of You,Ed Sheeran,ee,58.7523778,25.3319078
129,Shape of You,Ed Sheeran,tr,38.9597594,34.9249653
114,rockstar,Post Malone,us,39.7837304,-100.4458825
90,Despacito (Featuring Daddy Yankee),Luis Fonsi,sv,13.8000382,-88.9140683
78,Despacito (Featuring Daddy Yankee),Luis Fonsi,cr,10.2735633,-84.0739102
108,Shape of You,Ed Sheeran,de,51.0834196,10.4234469
86,Despacito (Featuring Daddy Yankee),Luis Fonsi,cl,-31.7613365,-71.3187697
336,Shape of You,Ed Sheeran,jp,36.5748441,139.2394179
70,Shape of You,Ed Sheeran,br,-10.3333333,-53.2
87,Despacito (Featuring Daddy Yankee),Luis Fonsi,hn,15.2572432,-86.0755145
90,Despacito (Featuring Daddy Yankee),Luis Fonsi,gt,15.6356088,-89.8988087
111,Shape of You,Ed Sheeran,ch,46.7985624,8.2319736
113,Shape of You,Ed Sheeran,hu,47.1817585,19.5060937
114,rockstar,Post Malone,ca,61.0666922,-107.9917071
88,Despacito (Featuring Daddy Yankee),Luis Fonsi,pe,-6.8699697,-75.0458515
128,Shape of You,Ed Sheeran,be,50.6402809,4.6667145
111,Shape of You,Ed Sheeran,my,39.7837304,-100.4458825
86,Despacito - Remix,Luis Fonsi,dk,55.670249,10.3333283
89,Despacito (Featuring Daddy Yankee),Luis Fonsi,bo,-17.0568696,-64.9912286
132,Shape of You,Ed Sheeran,pl,52.0977181,19.0258159
107,Shape of You,Ed Sheeran,at,47.2000338,13.199959
110,rockstar,Post Malone,pt,40.033265,-7.8896263
88,Despacito - Remix,Luis Fonsi,se,59.6749712,14.5208584
84,Despacito (Featuring Daddy Yankee),Luis Fonsi,mx,22.5000485,-100.0000375
93,Despacito (Featuring Daddy Yankee),Luis Fonsi,pa,8.3096067,-81.3066246
91,Despacito (Featuring Daddy Yankee),Luis Fonsi,uy,-32.8755548,-56.0201525
84,Despacito - Remix,Luis Fonsi,is,64.9841821,-18.1059013
96,Despacito (Featuring Daddy Yankee),Luis Fonsi,es,39.3262345,-4.8380649
135,Shape of You,Ed Sheeran,cz,49.8167003,15.4749544
88,Despacito - Remix,Luis Fonsi,ie,52.865196,-7.9794599
68,Shape of You,Ed Sheeran,nl,52.5001698,5.7480821
109,Shape of You,Ed Sheeran,sk,48.7411522,19.4528646
92,Despacito (Featuring Daddy Yankee),Luis Fonsi,co,2.8894434,-73.783892
111,Despacito - Remix,Luis Fonsi,sg,1.357107,103.8194992
91,Despacito - Remix,Luis Fonsi,id,-2.49579265,120.2000717
86,Despacito (Featuring Daddy Yankee),Luis Fonsi,do,19.0974031,-70.3028026
109,Shape of You,Ed Sheeran,lu,49.8158683,6.1296751
77,rockstar,Post Malone,gb,54.7023545,-3.2765753
112,rockstar,Post Malone,global,43.7283874,-79.34914879
59,Una Lady Como T�,Manuel Turizo,py,-23.3165935,-58.1693445
98,Shape of You,Ed Sheeran,au,-24.7761086,134.755
96,rockstar,Post Malone,lv,56.8406494,24.7537645
110,Shape of You,Ed Sheeran,gr,38.9953683,21.9877132
94,Shape of You,Ed Sheeran,hk,22.350627,114.1849161
